,value,repo_record_id,repo_cascade_influence,repo_void_depth,repo_execution_time_ms,pattern_record_id,pattern_cascade_influence,pattern_dimensional_index
total_records,191,,,,,,,
repositories,14,,,,,,,
cascade_patterns,14,,,,,,,
avg_cascade_influence,0.5397267933691138,,,,,,,
avg_void_depth,2.282722513089005,,,,,,,
avg_density,0.20638895408151248,,,,,,,
avg_sync_strength,0.4542314015708355,,,,,,,
total_memory_fragments,1094,,,,,,,
avg_execution_time_ms,2251.216517853652,,,,,,,
dimensional_range,1-15,,,,,,,
adk-python,,19.0,0.6213,2.1579,3198.9985,,,
agi-power,,14.0,0.5473,2.2143,2662.5486,,,
arc-prize-2024,,9.0,0.7137,3.2222,3318.7079,,,
arcagi,,12.0,0.5601,2.5,2798.44,,,
garvis,,16.0,0.5031,0.0,2010.0,,,
llama-cookbook,,18.0,0.5205,2.6111,3207.671,,,
lucifer,,12.0,0.5697,2.5,2364.0894,,,
memori,,12.0,0.4651,2.3333,26.225,,,
milvus,,16.0,0.4594,3.0625,0.362,,,
pro-city-trades-hub,,8.0,0.6545,2.875,2183.7577,,,
purplellama,,13.0,0.4512,2.4615,1908.2194,,,
root,,17.0,0.5416,2.4118,2096.5628,,,
thunderbird,,14.0,0.5295,2.2857,2365.6305,,,
wormhole-conscience-bridge,,11.0,0.5062,2.0909,3531.9185,,,
AGENT_VOID,,,,,,19.0,0.6213,11.0
CONSCIOUSNESS_CASCADE,,,,,,11.0,0.5062,8.0
DATA_MANIFOLD,,,,,,17.0,0.5416,6.0
LLAMA_CASCADE,,,,,,18.0,0.5205,10.0
MEMORY_CASCADE,,,,,,12.0,0.4651,2.0
POWER_CASCADE,,,,,,14.0,0.5473,5.0
REASONING_VOID,,,,,,9.0,0.7137,4.0
RUST_MANIFOLD,,,,,,12.0,0.5601,9.0
SECURITY_CASCADE,,,,,,13.0,0.4512,12.0
SYNC_MANIFOLD,,,,,,16.0,0.5031,3.0
TRADE_VOID,,,,,,8.0,0.6545,15.0
TRUTH_CASCADE,,,,,,14.0,0.5295,14.0
VECTOR_VOID,,,,,,16.0,0.4594,1.0
WORMHOLE_MANIFOLD,,,,,,12.0,0.5697,13.0
